year,round,pick_in_round,ov_pick,pos,player,mlb_team,canonical_team
2026,10,1,109,SS,Willy Adames,SF,For Whom Skubal Tolls
2026,10,2,110,UT,Mike Trout,LAA,Lightning McLean
2026,10,3,111,RP,Carlos Estevez,KC,X BLADZ
2026,10,4,112,RP,Bryan Abreu,HOU,Cruz Control
2026,10,5,113,RP,Pete Fairbanks,MIA,X BLADZ
2026,10,6,114,SP,Garrett Crochet,BOS,jd
2026,10,7,115,RP,Emilio Pagan,CIN,Moonlight Graham
2026,10,8,116,SP,Bryan Woo,SEA,New York No Sox
2026,10,9,117,OF,Pete Crow-Armstrong,CHC,jd
2026,10,10,118,C,Agustin Ramirez,MIA,Ball Knower
2026,10,11,119,OF,Ceddanne Rafaela,BOS,Moonlight Graham
2026,10,12,120,SS,Trevor Story,BOS,The Hunter Gatherers
2026,11,1,121,3B,Royce Lewis,MIN,The Hunter Gatherers
2026,11,2,122,OF,Jo Adell,LAA,Moonlight Graham
2026,11,3,123,RP,Kenley Jansen,DET,Ball Knower
2026,11,4,124,RP,Robert Suarez,ATL,jd
2026,11,5,125,SS,Jacob Wilson,ATH,New York No Sox
2026,11,6,126,SS,Jeremy Pena,HOU,Acuna & Friends
2026,11,7,127,RP,Griffin Jax,TB,The Boss Hogg Brigade
2026,11,8,128,2B,Xavier Edwards,MIA,My Filipina ❤️'s Dried Fish
2026,11,9,129,SP,Drew Rasmussen,TB,Cruz Control
2026,11,10,130,1B,Spencer Torkelson,DET,X BLADZ
2026,11,11,131,1B,Munetaka Murakami,CHW,Lightning McLean
2026,11,12,132,OF,Ian Happ,CHC,For Whom Skubal Tolls
2026,12,1,133,SP,Nathan Eovaldi,TEX,For Whom Skubal Tolls
2026,12,2,134,SS,Dansby Swanson,CHC,The Boss Hogg Brigade
2026,12,3,135,2B,Bryson Stott,PHI,X BLADZ
2026,12,4,136,3B,Addison Barger,TOR,Moonlight Graham
2026,12,5,137,1B,Willson Contreras,BOS,My Filipina ❤️'s Dried Fish
2026,12,6,138,SP,Nolan McLean,NYM,Lightning McLean
2026,12,7,139,OF,Noelvi Marte,CIN,Acuna & Friends
2026,12,8,140,RP,Abner Uribe,MIL,New York No Sox
2026,12,9,141,1B,Nick Kurtz,ATH,jd
2026,12,10,142,RP,Ryan Walker,SF,Ball Knower
2026,12,11,143,UT,Brent Rooker,ATH,Cruz Control
2026,12,12,144,C,Hunter Goodman,COL,The Hunter Gatherers
2026,13,1,145,3B,Kazuma Okamoto,TOR,New York No Sox
2026,13,2,146,C,Will Smith,LAD,Cruz Control
2026,13,3,147,RP,Seranthony Dominguez,CHW,Ball Knower
2026,13,4,148,SP,Bryce Miller,SEA,jd
2026,13,5,149,SP,Hunter Brown,HOU,The Hunter Gatherers
2026,13,6,150,SP,Gavin Williams,CLE,Acuna & Friends
2026,13,7,151,OF,Adolis Garcia,PHI,Cruz Control
2026,13,8,152,SP,Sandy Alcantara,MIA,My Filipina ❤️'s Dried Fish
2026,13,9,153,3B,Maikel Garcia,KC,Moonlight Graham
2026,13,10,154,2B,Brandon Lowe,PIT,X BLADZ
2026,13,11,155,SP,Tatsuya Imai,HOU,Lightning McLean
2026,13,12,156,SP,Cam Schlittler,NYY,For Whom Skubal Tolls
2026,14,1,157,1B,Jonathan Aranda,TB,The Boss Hogg Brigade
2026,14,2,158,1B,Luis Arraez,SF,Lightning McLean
2026,14,3,159,OF,Evan Carter,TEX,X BLADZ
2026,14,4,160,1B,Sal Stewart,CIN,Ball Knower
2026,14,5,161,RP,Adrian Morejon,SD,Ball Knower
2026,14,6,162,RP,Mason Miller,SD,For Whom Skubal Tolls
2026,14,7,163,SP,Trevor Rogers,BAL,Acuna & Friends
2026,14,8,164,SP,Hunter Greene,CIN,New York No Sox
2026,14,9,165,OF,Jordan Walker,STL,jd
2026,14,10,166,2B,Brendan Donovan,SEA,My Filipina ❤️'s Dried Fish
2026,14,11,167,2B,Matt McLain,CIN,Moonlight Graham
2026,14,12,168,1B,Alec Burleson,STL,The Hunter Gatherers
2026,15,1,169,2B,Jackson Holliday,BAL,The Hunter Gatherers
2026,15,2,170,RP,Dennis Santana,PIT,Moonlight Graham
2026,15,3,171,SP,Shane Baz,BAL,Ball Knower
2026,15,4,172,RP,Jason Adam,SD,jd
2026,15,5,173,C,Samuel Basallo,BAL,New York No Sox
2026,15,6,174,3B,Isaac Paredes,HOU,Ball Knower
2026,15,7,175,SP,Edward Cabrera,CHC,The Boss Hogg Brigade
2026,15,8,176,RP,Devin Williams,NYM,My Filipina ❤️'s Dried Fish
2026,15,9,177,OF,Sal Frelick,MIL,Cruz Control
2026,15,10,178,OF,Jasson Dominguez,NYY,X BLADZ
2026,15,11,179,UT,Jorge Polanco,NYM,Lightning McLean
2026,15,12,180,3B,Max Muncy,LAD,For Whom Skubal Tolls
2026,16,1,181,OF,Heliot Ramos,SF,For Whom Skubal Tolls
2026,16,2,182,SS,Kevin McGonigle,DET,The Hunter Gatherers
2026,16,3,183,SP,Paul Skenes,PIT,X BLADZ
2026,16,4,184,SP,Shota Imanaga,CHC,Cruz Control
2026,16,5,185,SP,Kodai Senga,NYM,My Filipina ❤️'s Dried Fish
2026,16,6,186,SP,Blake Snell,LAD,Ball Knower
2026,16,7,187,SS,Colson Montgomery,CHW,Acuna & Friends
2026,16,8,188,SP,Jacob deGrom,TEX,New York No Sox
2026,16,9,189,UT,Colt Keith,DET,jd
2026,16,10,190,OF,Daulton Varsho,TOR,Ball Knower
2026,16,11,191,OF,Wilyer Abreu,BOS,Moonlight Graham
2026,16,12,192,3B,Eugenio Suarez,CIN,The Boss Hogg Brigade
2026,17,1,193,RP,Braxton Ashcraft,PIT,New York No Sox
2026,17,2,194,SS,Ezequiel Tovar,COL,The Boss Hogg Brigade
2026,17,3,195,SP,Justin Steele,CHC,Ball Knower
2026,17,4,196,SP,Taj Bradley,MIN,jd
2026,17,5,197,SS,CJ Abrams,WSH,The Hunter Gatherers
2026,17,6,198,OF,TJ Friedl,CIN,Acuna & Friends
2026,17,7,199,SP,Nick Pivetta,SD,Moonlight Graham
2026,17,8,200,OF,Trent Grisham,NYY,My Filipina ❤️'s Dried Fish
2026,17,9,201,SP,Cristopher Sanchez,PHI,Cruz Control
2026,17,10,202,3B,Jordan Lawlar,ARI,X BLADZ
2026,17,11,203,RP,Edwin Diaz,LAD,Lightning McLean
2026,17,12,204,RP,Jeremiah Estrada,SD,For Whom Skubal Tolls
2026,18,1,205,OF,James Wood,WSH,For Whom Skubal Tolls
2026,18,2,206,RP,Tanner Scott,LAD,New York No Sox
2026,18,3,207,2B,Luis Garcia Jr.,WSH,X BLADZ
2026,18,4,208,3B,Alec Bohm,PHI,Cruz Control
2026,18,5,209,RP,Robert Garcia,TEX,My Filipina ❤️'s Dried Fish
2026,18,6,210,SP,Aaron Nola,PHI,The Boss Hogg Brigade
2026,18,7,211,RP,Grant Taylor,CHW,Acuna & Friends
2026,18,8,212,RP,Cade Smith,CLE,Lightning McLean
2026,18,9,213,3B,Nolan Gorman,STL,jd
2026,18,10,214,OF,Jackson Merrill,SD,Ball Knower
2026,18,11,215,SP,Luis Castillo,SEA,Moonlight Graham
2026,18,12,216,OF,Kerry Carpenter,DET,New York No Sox
2026,19,1,217,UT,Ivan Herrera,STL,The Hunter Gatherers
2026,19,2,218,SP,Trey Yesavage,TOR,Moonlight Graham
2026,19,3,219,SP,Shohei Ohtani-P,LAD,Ball Knower
2026,19,4,220,3B,Marcelo Mayer,BOS,jd
2026,19,5,221,SS,Konnor Griffin,PIT,New York No Sox
2026,19,6,222,UT,Kyle Manzardo,CLE,Acuna & Friends
2026,19,7,223,RP,Tyler Rogers,TOR,Cruz Control
2026,19,8,224,SP,Zac Gallen,ARI,My Filipina ❤️'s Dried Fish
2026,19,9,225,OF,Jackson Chourio,MIL,The Boss Hogg Brigade
2026,19,10,226,SS,Masyn Winn,STL,X BLADZ
2026,19,11,227,SS,Carlos Correa,HOU,Lightning McLean
2026,19,12,228,3B,Caleb Durbin,BOS,For Whom Skubal Tolls
2026,20,1,229,SP,Cade Horton,CHC,For Whom Skubal Tolls
2026,20,2,230,OF,Carson Benge,NYM,Lightning McLean
2026,20,3,231,OF,Jung Hoo Lee,SF,X BLADZ
2026,20,4,232,SS,Xander Bogaerts,SD,Cruz Control
2026,20,5,233,OF,Brenton Doyle,COL,My Filipina ❤️'s Dried Fish
2026,20,6,234,SP,Connelly Early,BOS,The Boss Hogg Brigade
2026,20,7,235,3B,Ernie Clement,TOR,Acuna & Friends
2026,20,8,236,SP,Clay Holmes,NYM,New York No Sox
2026,20,9,237,SP,Roki Sasaki,LAD,jd
2026,20,10,238,RP,Garrett Whitlock,BOS,Ball Knower
2026,20,11,239,RP,Aroldis Chapman,BOS,Moonlight Graham
2026,20,12,240,SP,Zebby Matthews,MIN,The Hunter Gatherers
2026,21,1,241,OF,Chase DeLauter,CLE,The Hunter Gatherers
2026,21,2,242,RP,Matt Strahm,KC,Cruz Control
2026,21,3,243,UT,Marcell Ozuna,PIT,Ball Knower
2026,21,4,244,SP,Grayson Rodriguez,LAA,jd
2026,21,5,245,SP,Jonah Tong,NYM,New York No Sox
2026,21,6,246,SP,Cody Ponce,TOR,Acuna & Friends
2026,21,7,247,2B,Marcus Semien,NYM,Ball Knower
2026,21,8,248,SS,Leo De Vries,ATH,The Boss Hogg Brigade
2026,21,9,249,SP,Ranger Suarez,BOS,Moonlight Graham
2026,21,10,250,OF,Jordan Beck,COL,X BLADZ
2026,21,11,251,SP,Jack Flaherty,DET,Lightning McLean
2026,21,12,252,OF,Ramon Laureano,SD,For Whom Skubal Tolls
2026,22,1,253,1B,Jake Burger,TEX,For Whom Skubal Tolls
2026,22,2,254,OF,Justin Crawford,PHI,Lightning McLean
2026,22,3,255,SP,Bobby Miller,LAD,X BLADZ
2026,22,4,256,RP,Brad Keller,PHI,Cruz Control
2026,22,5,257,SP,Shane McClanahan,TB,My Filipina ❤️'s Dried Fish
2026,22,6,258,OF,Chandler Simpson,TB,The Boss Hogg Brigade
2026,22,7,259,SS,JJ Wetherholt,STL,Acuna & Friends
2026,22,8,260,SP,Jared Jones,PIT,New York No Sox
2026,22,9,261,3B,Matt Shaw,CHC,jd
2026,22,10,262,SP,Kris Bubic,KC,Ball Knower
2026,22,11,263,1B,Ben Rice,NYY,New York No Sox
2026,22,12,264,SP,Gerrit Cole,NYY,My Filipina ❤️'s Dried Fish
2026,23,1,265,1B,Bryce Eldridge,SF,New York No Sox
2026,23,2,266,SS,Jesus Made,MIL,The Boss Hogg Brigade
2026,23,3,267,OF,Roman Anthony,BOS,Ball Knower
2026,23,4,268,SP,Chase Burns,CIN,X BLADZ
2026,23,5,269,SP,Robby Snelling,MIA,New York No Sox
2026,23,6,270,SP,Thomas White,MIA,The Hunter Gatherers
2026,23,7,271,RP,Luke Weaver,NYM,My Filipina ❤️'s Dried Fish
2026,23,8,272,OF,Jac Caglianone,KC,The Hunter Gatherers
2026,23,9,273,SS,Otto Lopez,MIA,Cruz Control
2026,23,10,274,SS,Zach Neto,LAA,X BLADZ
2026,23,11,275,RP,Alex Vesia,LAD,Lightning McLean
2026,23,12,276,SP,Carlos Rodon,NYY,For Whom Skubal Tolls
2026,24,1,277,2B,Travis Bazzana,CLE,For Whom Skubal Tolls
2026,24,2,278,SP,Robbie Ray,SF,Lightning McLean
2026,24,3,279,RP,DL Hall,MIL,X BLADZ
2026,24,4,280,RP,Clayton Beeter,WSH,The Boss Hogg Brigade
2026,24,5,281,RP,Matt Brash,SEA,My Filipina ❤️'s Dried Fish
2026,24,6,282,1B,Spencer Steer,CIN,jd
2026,24,7,283,C,Carter Jensen,KC,Acuna & Friends
2026,24,8,284,3B,Jordan Westburg,BAL,New York No Sox
2026,24,9,285,SP,Brandon Pfaadt,ARI,jd
2026,24,10,286,C,Yainer Diaz,HOU,The Boss Hogg Brigade
2026,24,11,287,OF,Daylen Lile,WSH,Moonlight Graham
2026,24,12,288,SP,Parker Messick,CLE,The Hunter Gatherers
2026,25,1,289,SS,Sebastian Walcott,TEX,The Hunter Gatherers
2026,25,2,290,SP,Kade Anderson,SEA,The Boss Hogg Brigade
2026,25,3,291,SP,Andrew Painter,PHI,Ball Knower
2026,25,4,292,UT,Giancarlo Stanton,NYY,The Boss Hogg Brigade
2026,25,5,293,SS,Jose Caballero,NYY,New York No Sox
2026,25,6,294,SP,J.R. Ritchie,ATL,Acuna & Friends
2026,25,7,295,OF,Mickey Moniak,COL,Cruz Control
2026,25,8,296,1B,Andrew Vaughn,MIL,My Filipina ❤️'s Dried Fish
2026,25,9,297,RP,Kyle Finnegan,DET,Cruz Control
2026,25,10,298,2B,Termarr Johnson,PIT,X BLADZ
2026,25,11,299,P,Payton Tolle,BOS,Lightning McLean
2026,25,12,300,2B,Cole Young,SEA,For Whom Skubal Tolls
2025,1,1,1,UT,Shohei Ohtani-H,LAD,Ball Knower
2025,1,2,2,OF,Juan Soto,NYM,Lightning McLean
2025,1,3,3,SS,Elly De La Cruz,CIN,Cruz Control
2025,1,4,4,3B,Jose Ramirez,CLE,X BLADZ
2025,1,5,5,OF,Mookie Betts,LAD,jd
2025,1,6,6,OF,Corbin Carroll,ARI,Moonlight Graham
2025,1,8,8,1B,Vladimir Guerrero Jr.,TOR,The Boss Hogg Brigade
2025,1,9,9,OF,Aaron Judge,NYY,My Filipina ❤️'s Dried Fish
2025,1,10,10,OF,Julio Rodriguez,SEA,New York No Sox
2025,1,11,11,SS,Bobby Witt Jr.,KC,For Whom Skubal Tolls
2025,1,12,12,OF,Kyle Tucker,CHC,Acuna & Friends
2025,2,1,13,SP,Zack Wheeler,PHI,Lightning McLean
2025,2,2,14,OF,Fernando Tatis Jr.,SD,For Whom Skubal Tolls
2025,2,3,15,OF,Ronald Acuna Jr.,ATL,Acuna & Friends
2025,2,4,16,1B,Pete Alonso,NYM,My Filipina ❤️'s Dried Fish
2025,2,5,17,OF,Yordan Alvarez,HOU,The Boss Hogg Brigade
2025,2,7,19,3B,Rafael Devers,BOS,Moonlight Graham
2025,2,8,20,SS,Trea Turner,PHI,jd
2025,2,9,21,1B,Freddie Freeman,LAD,X BLADZ
2025,2,10,22,2B,Ketel Marte,ARI,Cruz Control
2025,2,11,23,SP,Logan Gilbert,SEA,New York No Sox
2025,2,12,24,3B,Manny Machado,SD,Ball Knower
2025,3,1,25,SS,Corey Seager,TEX,Ball Knower
2025,3,2,26,3B,Austin Riley,ATL,The Boss Hogg Brigade
2025,3,3,27,SS,Oneil Cruz,PIT,Cruz Control
2025,3,4,28,2B,Marcus Semien,TEX,X BLADZ
2025,3,5,29,SP,Cole Ragans,KC,jd
2025,3,6,30,OF,Teoscar Hernandez,LAD,Moonlight Graham
2025,3,7,31,SP,Corbin Burnes,ARI,My Filipina ❤️'s Dried Fish
2025,3,8,32,UT,Kyle Schwarber,PHI,The Boss Hogg Brigade
2025,3,9,33,SP,Dylan Cease,SD,My Filipina ❤️'s Dried Fish
2025,3,10,34,OF,Wyatt Langford,TEX,New York No Sox
2025,3,11,35,SP,Tarik Skubal,DET,For Whom Skubal Tolls
2025,3,12,36,SP,Pablo Lopez,MIN,X BLADZ
2025,4,1,37,2B,Ozzie Albies,ATL,Acuna & Friends
2025,4,2,38,SP,Framber Valdez,HOU,For Whom Skubal Tolls
2025,4,3,39,2B,Jose Altuve,HOU,Lightning McLean
2025,4,4,40,OF,Mike Trout,LAA,My Filipina ❤️'s Dried Fish
2025,4,5,41,SP,Yoshinobu Yamamoto,LAD,The Boss Hogg Brigade
2025,4,7,43,SP,Aaron Nola,PHI,Moonlight Graham
2025,4,8,44,OF,Anthony Santander,TOR,jd
2025,4,9,45,OF,Randy Arozarena,SEA,X BLADZ
2025,4,10,46,SP,Max Fried,NYY,Cruz Control
2025,4,11,47,SS,Gunnar Henderson,BAL,New York No Sox
2025,4,12,48,OF,Jazz Chisholm Jr.,NYY,Ball Knower
2025,5,1,49,SP,Logan Webb,SF,Ball Knower
2025,5,2,50,C,Adley Rutschman,BAL,Lightning McLean
2025,5,3,51,OF,Michael Harris II,ATL,Cruz Control
2025,5,4,52,RP,Emmanuel Clase,CLE,X BLADZ
2025,5,5,53,OF,Brenton Doyle,COL,jd
2025,5,6,54,C,Yainer Diaz,HOU,Moonlight Graham
2025,5,8,56,RP,Raisel Iglesias,ATL,jd
2025,5,9,57,SP,Spencer Strider,ATL,My Filipina ❤️'s Dried Fish
2025,5,10,58,SP,George Kirby,SEA,New York No Sox
2025,5,11,59,1B,Christian Walker,HOU,For Whom Skubal Tolls
2025,5,12,60,SP,Luis Castillo,SEA,Lightning McLean
2025,6,1,61,OF,Bryan Reynolds,PIT,Acuna & Friends
2025,6,2,62,3B,Junior Caminero,TB,Cruz Control
2025,6,3,63,C,Willson Contreras,STL,New York No Sox
2025,6,4,64,1B,Josh Naylor,ARI,My Filipina ❤️'s Dried Fish
2025,6,5,65,SP,Bailey Ober,MIN,The Boss Hogg Brigade
2025,6,7,67,SP,Zac Gallen,ARI,Moonlight Graham
2025,6,8,68,3B,Mark Vientos,NYM,jd
2025,6,9,69,OF,Seiya Suzuki,CHC,X BLADZ
2025,6,10,70,3B,Alex Bregman,BOS,Cruz Control
2025,6,11,71,OF,Christian Yelich,MIL,Lightning McLean
2025,6,12,72,SP,Tanner Bibee,CLE,Ball Knower
2025,7,1,73,SP,Freddy Peralta,MIL,Ball Knower
2025,7,2,74,C,Salvador Perez,KC,Lightning McLean
2025,7,3,75,SP,Joe Ryan,MIN,Cruz Control
2025,7,4,76,OF,Adolis Garcia,TEX,X BLADZ
2025,7,5,77,SP,Blake Snell,LAD,jd
2025,7,6,78,SS,Matt McLain,CIN,Moonlight Graham
2025,7,8,80,1B,Bryce Harper,PHI,The Boss Hogg Brigade
2025,7,9,81,SS,Bo Bichette,TOR,My Filipina ❤️'s Dried Fish
2025,7,10,82,SP,Justin Steele,CHC,New York No Sox
2025,7,11,83,SS,Ezequiel Tovar,COL,For Whom Skubal Tolls
2025,7,12,84,SP,Chris Sale,ATL,Acuna & Friends
2025,8,1,85,1B,Vinnie Pasquantino,KC,Acuna & Friends
2025,8,2,86,OF,Ian Happ,CHC,For Whom Skubal Tolls
2025,8,3,87,SP,Roki Sasaki,LAD,Lightning McLean
2025,8,4,88,C,Will Smith,LAD,My Filipina ❤️'s Dried Fish
2025,8,5,89,RP,Jhoan Duran,MIN,The Boss Hogg Brigade
2025,8,7,91,UT,Marcell Ozuna,ATL,Moonlight Graham
2025,8,8,92,C,Cal Raleigh,SEA,jd
2025,8,9,93,SP,Mitch Keller,PIT,X BLADZ
2025,8,10,94,3B,Alec Bohm,PHI,Cruz Control
2025,8,11,95,SP,Kevin Gausman,TOR,Lightning McLean
2025,8,12,96,OF,Colton Cowser,BAL,Ball Knower
2025,9,1,97,SP,Sandy Alcantara,MIA,Ball Knower
2025,9,2,98,RP,Ryan Helsley,STL,Lightning McLean
2025,9,3,99,2B,Luis Arraez,SD,Cruz Control
2025,9,4,100,C,J.T. Realmuto,PHI,X BLADZ
2025,9,5,101,SP,Jack Flaherty,DET,jd
2025,9,6,102,SS,Anthony Volpe,NYY,Moonlight Graham
2025,9,8,104,SS,Nico Hoerner,CHC,The Boss Hogg Brigade
2025,9,9,105,RP,Andres Munoz,SEA,My Filipina ❤️'s Dried Fish
2025,9,10,106,2B,Jackson Holliday,BAL,New York No Sox
2025,9,11,107,3B,Nolan Arenado,STL,Lightning McLean
2025,9,12,108,SP,Robbie Ray,SF,Acuna & Friends
2025,10,1,109,OF,Jarren Duran,BOS,Acuna & Friends
2025,10,2,110,3B,Jake Burger,TEX,For Whom Skubal Tolls
2025,10,3,111,OF,Lane Thomas,CLE,New York No Sox
2025,10,4,112,OF,Luis Robert Jr.,CHW,Cruz Control
2025,10,5,113,OF,Steven Kwan,CLE,The Boss Hogg Brigade
2025,10,7,115,SS,Willy Adames,SF,Moonlight Graham
2025,10,8,116,SP,Carlos Rodon,NYY,jd
2025,10,9,117,RP,Robert Suarez,SD,X BLADZ
2025,10,10,118,RP,Jeff Hoffman,TOR,Cruz Control
2025,10,11,119,2B,Brice Turang,MIL,Lightning McLean
2025,10,12,120,3B,Isaac Paredes,HOU,Ball Knower
2025,11,1,121,RP,Tanner Scott,LAD,Ball Knower
2025,11,2,122,SP,Brandon Pfaadt,ARI,New York No Sox
2025,11,3,123,RP,Pete Fairbanks,TB,Cruz Control
